agent,size,dirt,size_value,time,performance
random,2x2,0.24,1.0,26.246,1.0
random,2x2,0.25,1.0,26.324,1.0
random,2x2,0.26,1.0,28.254,1.0
random,2x2,0.27,1.0,30.142,1.0
random,2x2,0.28,1.0,29.074,1.0
random,2x2,0.29,1.0,29.014,1.0
random,2x2,0.3,1.0,29.761,1.0
random,2x2,0.31,1.0,31.565,1.0
random,2x2,0.32,1.0,32.439,1.0
random,2x2,0.33,1.0,33.199,1.0
random,2x2,0.34,1.0,37.163,1.0
random,2x2,0.35000000000000003,1.0,36.551,1.0
random,2x2,0.36,1.0,34.279,1.0
random,2x2,0.37,1.0,36.284,1.0
random,2x2,0.38,1.0,37.356,1.0
random,2x2,0.39,1.0,39.078,1.0
random,2x2,0.4,1.0,38.049,1.0
random,2x2,0.41000000000000003,1.0,37.052,1.0
random,2x2,0.42,1.0,39.927,1.0
random,2x2,0.43,1.0,39.5,1.0
random,2x2,0.44,1.0,43.856,1.0
random,2x2,0.45,1.0,41.344,1.0
random,2x2,0.46,1.0,44.572,1.0
random,2x2,0.47000000000000003,1.0,43.231,1.0
random,2x2,0.48,1.0,45.234,1.0
random,2x2,0.49,1.0,45.153,1.0
random,2x2,0.5,1.0,44.18,1.0
random,2x2,0.51,1.0,44.543,1.0
random,2x2,0.52,1.0,45.405,1.0
random,2x2,0.53,1.0,45.628,1.0
random,2x2,0.54,1.0,48.223,1.0
random,2x2,0.55,1.0,49.796,1.0
random,2x2,0.56,1.0,49.998,1.0
random,2x2,0.5700000000000001,1.0,48.753,1.0
random,2x2,0.58,1.0,50.081,1.0
random,2x2,0.59,1.0,50.481,1.0
random,2x2,0.6,1.0,50.211,1.0
random,2x2,0.61,1.0,51.38,1.0
random,2x2,0.62,1.0,54.266,1.0
random,2x2,0.63,1.0,54.564,1.0
random,2x2,0.64,1.0,51.075,1.0
random,2x2,0.65,1.0,54.153,1.0
random,2x2,0.66,1.0,54.254,1.0
random,2x2,0.67,1.0,55.544,1.0
random,2x2,0.68,1.0,53.288,1.0
random,2x2,0.6900000000000001,1.0,55.711,1.0
random,2x2,0.7000000000000001,1.0,57.35,1.0
random,2x2,0.71,1.0,57.99,1.0
random,2x2,0.72,1.0,58.971,1.0
random,2x2,0.73,1.0,56.873,1.0
random,2x2,0.74,1.0,58.27,1.0
random,2x2,0.75,1.0,58.435,1.0
random,2x2,0.76,1.0,60.082,1.0
random,2x2,0.77,1.0,59.984,1.0
random,2x2,0.78,1.0,60.927,1.0
random,2x2,0.79,1.0,60.354,1.0
random,2x2,0.8,1.0,61.125,1.0
random,2x2,0.81,1.0,60.265,1.0
random,2x2,0.8200000000000001,1.0,61.373,1.0
random,2x2,0.8300000000000001,1.0,61.993,1.0
random,2x2,0.84,1.0,63.707,1.0
random,2x2,0.85,1.0,63.832,1.0
random,2x2,0.86,1.0,64.578,1.0
random,2x2,0.87,1.0,63.254,1.0
random,2x2,0.88,1.0,64.378,1.0
random,2x2,0.89,1.0,62.996,1.0
random,2x2,0.9,1.0,64.903,1.0
random,2x2,0.91,1.0,66.493,1.0
random,2x2,0.92,1.0,65.84,1.0
random,2x2,0.93,1.0,66.531,1.0
random,2x2,0.9400000000000001,1.0,65.477,1.0
random,2x2,0.9500000000000001,1.0,65.893,1.0
random,2x2,0.96,1.0,67.622,1.0
random,2x2,0.97,1.0,68.723,1.0
random,2x2,0.98,1.0,66.323,1.0
random,2x2,0.99,1.0,69.698,1.0
random,32x32,0.0,5.0,0.0,1.0
random,32x32,0.01,5.0,1000.0,0.09120528241108737
random,32x32,0.02,5.0,1000.0,0.09115322023799617
random,32x32,0.03,5.0,1000.0,0.08849662980277263
random,32x32,0.04,5.0,1000.0,0.09141916137442406
random,32x32,0.05,5.0,1000.0,0.08802443449252721
random,32x32,0.06,5.0,1000.0,0.08945951309351634
random,32x32,0.07,5.0,1000.0,0.09174470825460662
random,32x32,0.08,5.0,1000.0,0.09078223246706128
random,32x32,0.09,5.0,1000.0,0.09158610241675533
random,32x32,0.1,5.0,1000.0,0.09049724556145643
random,32x32,0.11,5.0,1000.0,0.08905797498015494
random,32x32,0.12,5.0,1000.0,0.08986861547510634
random,32x32,0.13,5.0,1000.0,0.09015447850958394
random,32x32,0.14,5.0,1000.0,0.09021410761555534
random,32x32,0.15,5.0,1000.0,0.08846143314011806
random,32x32,0.16,5.0,1000.0,0.08983306131388621
random,32x32,0.17,5.0,1000.0,0.09097400585975624
random,32x32,0.18,5.0,1000.0,0.08925477188726971
random,32x32,0.19,5.0,1000.0,0.09061105040889265
random,32x32,0.2,5.0,1000.0,0.09026918338949953
random,32x32,0.21,5.0,1000.0,0.08880759321448387
random,32x32,0.22,5.0,1000.0,0.09014511345953886
random,32x32,0.23,5.0,1000.0,0.09106545394324099
random,32x32,0.24,5.0,1000.0,0.08920020704464444
random,32x32,0.25,5.0,1000.0,0.09060400337043023
random,32x32,0.26,5.0,1000.0,0.09056304979664372
random,32x32,0.27,5.0,1000.0,0.0898981931661808
random,32x32,0.28,5.0,1000.0,0.08905169290485278
random,32x32,0.29,5.0,1000.0,0.09002332071321509
random,32x32,0.3,5.0,1000.0,0.0899060273270995
random,32x32,0.31,5.0,1000.0,0.0902004558922001
random,32x32,0.32,5.0,1000.0,0.089693620121992
random,32x32,0.33,5.0,1000.0,0.08977135261381891
random,32x32,0.34,5.0,1000.0,0.09093067151362538
random,32x32,0.35000000000000003,5.0,1000.0,0.09069823922096203
random,32x32,0.36,5.0,1000.0,0.09006919379107996
random,32x32,0.37,5.0,1000.0,0.08984670674039417
random,32x32,0.38,5.0,1000.0,0.09066366672185772
random,32x32,0.39,5.0,1000.0,0.09002523489070077
random,32x32,0.4,5.0,1000.0,0.08982934161651085
random,32x32,0.41000000000000003,5.0,1000.0,0.08957704440437217
random,32x32,0.42,5.0,1000.0,0.08931638226017
random,32x32,0.43,5.0,1000.0,0.09061754334221735
random,32x32,0.44,5.0,1000.0,0.0904575771079608
random,32x32,0.45,5.0,1000.0,0.09011200535606559
random,32x32,0.46,5.0,1000.0,0.08912376262721873
random,32x32,0.47000000000000003,5.0,1000.0,0.0897911310959272
random,32x32,0.48,5.0,1000.0,0.08904658017738251
random,32x32,0.49,5.0,1000.0,0.09020309042848763
random,32x32,0.5,5.0,1000.0,0.08982289649822124
random,32x32,0.51,5.0,1000.0,0.09002019098370534
random,32x32,0.52,5.0,1000.0,0.08931017795206604
random,32x32,0.53,5.0,1000.0,0.08996373809873097
random,32x32,0.54,5.0,1000.0,0.08969820149987903
random,32x32,0.55,5.0,1000.0,0.08974735332478963
random,32x32,0.56,5.0,1000.0,0.09038413935840729
random,32x32,0.5700000000000001,5.0,1000.0,0.09037367705793022
random,32x32,0.58,5.0,1000.0,0.09020833454043821
random,32x32,0.59,5.0,1000.0,0.08989507235328512
random,32x32,0.6,5.0,1000.0,0.09009156379752606
random,32x32,0.61,5.0,1000.0,0.0905576746288936
random,32x32,0.62,5.0,1000.0,0.09019507875198703
random,32x32,0.63,5.0,1000.0,0.08991547324782097
random,32x32,0.64,5.0,1000.0,0.08950726799483617
random,32x32,0.65,5.0,1000.0,0.08941051654011546
random,32x32,0.66,5.0,1000.0,0.09049074876570766
random,32x32,0.67,5.0,1000.0,0.0900630237526522
random,32x32,0.68,5.0,1000.0,0.08959643754905279
random,32x32,0.6900000000000001,5.0,1000.0,0.09019833754810451
random,32x32,0.7000000000000001,5.0,1000.0,0.09016034313259036
random,32x32,0.71,5.0,1000.0,0.08930807769493236
random,32x32,0.72,5.0,1000.0,0.09062037191716747
random,32x32,0.73,5.0,1000.0,0.08985496531898057
random,32x32,0.74,5.0,1000.0,0.09005279094258403
random,32x32,0.75,5.0,1000.0,0.0892481565563525
random,32x32,0.76,5.0,1000.0,0.089483483852529
random,32x32,0.77,5.0,1000.0,0.09021944520216003
random,32x32,0.78,5.0,1000.0,0.09021597642304616
random,32x32,0.79,5.0,1000.0,0.08954608371532682
random,32x32,0.8,5.0,1000.0,0.08939798744051497
random,32x32,0.81,5.0,1000.0,0.089761727944741
random,32x32,0.8200000000000001,5.0,1000.0,0.08946246928710268
random,32x32,0.8300000000000001,5.0,1000.0,0.08987908937304685
random,32x32,0.84,5.0,1000.0,0.08946450310954766
random,32x32,0.85,5.0,1000.0,0.09052749895366702
random,32x32,0.86,5.0,1000.0,0.09035551745038241
random,32x32,0.87,5.0,1000.0,0.09026023024779072
random,32x32,0.88,5.0,1000.0,0.09009049138925093
random,32x32,0.89,5.0,1000.0,0.0900399882268672
random,32x32,0.9,5.0,1000.0,0.0897989225038596
random,32x32,0.91,5.0,1000.0,0.08981555386631417
random,32x32,0.92,5.0,1000.0,0.08951873407730049
random,32x32,0.93,5.0,1000.0,0.08995539859723477
random,32x32,0.9400000000000001,5.0,1000.0,0.08950058741628009
random,32x32,0.9500000000000001,5.0,1000.0,0.08973461221552646
random,32x32,0.96,5.0,1000.0,0.08999930319205122
random,32x32,0.97,5.0,1000.0,0.09009565724354571
random,32x32,0.98,5.0,1000.0,0.0901171400951117
